Ticker,Order Type,Price Move,Price Move(Actual),Limit,Stop,OrderShares,BoughtShares,SoldShares,BuyTarget,BuyTargetIndicator,BuyPrice,orderPricePct,SellPrice,Profit,Date,OrderTime,BuyTime,SellTime,Fill(m),Hold(m),PassedStop,PrematureReversalBailOut,NumOfIndicators,Indicators,Result
BE,Long,5 Min,0.98,160.94,159.94,31,0,0,160.19,M|W|D|D,0,64,0,0,2026-01-29,09:31:00,,,,,False,162.11125,1,M|W|D|D,Order Cancelled
VRT,Short,5 Min,0.98,199.94,200.94,24,0,0,200.69,W r2,0,50,0,0,2026-01-29,09:31:00,,,,,False,193.56135,1,W r2,Cancelled(Order Timed)
JPM,Short,5 Min,2.0,307.74,308.74,16,0,0,308.49,Q|Q|M|M|W|W|W|D,0,41,0,0,2026-01-29,09:32:00,,,,,False,299.9825,6,"D r4, W r2, Q pp1, Q|Q|M|M|W|W|W|D, Q|Q|M|M|W|W, Q|M",Cancelled(Order Timed)
LRCX,Short,5 Min,2.0,251.42,252.42,19,0,0,252.17,Q|W|W|D|D,0,55,0,0,2026-01-29,09:32:00,,,,,False,243.43124999999998,1,Q|W|W|D|D,Cancelled(Order Timed)
CRDO,Short,5 Min,2.0,135.31,136.31,36,0,0,136.06,D|D,0,61,0,0,2026-01-29,09:32:00,,,,,False,130.29500000000002,1,D|D,Cancelled(Order Timed)
AMP,Long,5 Min,1.0,508.99,507.99,9,0,0,508.24,Q|Y|M|W|W|W|D|D|D|D,0,26,0,0,2026-01-29,09:32:00,,,,,False,526.39,9,"D r2, D r3, D r4, W r1, M r1, Q|Y|M|W|W|W|D|D|D|D, Q|M|W|W|W|D|D|D, Q|M|W|W|W|W|D, Q|M|W|W",Cancelled(Order Timed)
LBRT,Short,5 Min,2.0,25.67,26.67,189,0,0,26.42,Q r2,0,70,0,0,2026-01-29,09:33:00,,,,,False,22.9225,1,Q r2,Cancelled(Order Timed)
TSLA,Long,5 Min,0.0,425.21,424.21,11,0,0,424.46,M|W|W|D|D|D,0,46,0,0,2026-01-29,09:33:00,,,,,False,432.6125,9,"D s2, D s3, D s4, W s1, M s1, M|W|W|D|D|D, M|W|D|D, M|W|W|D, M|W",Cancelled(Order Timed)
COHR,Long,5 Min,0.0,216.52,215.52,23,0,0,215.77,Q|W|pdo|pdc|pdl|D|D,0,69,0,0,2026-01-29,09:34:00,,,,,False,217.6175,3,"pdo, D s1, Q|W|pdo|pdc|pdl|D|D",Order Cancelled
INOD,Short,5 Min,3.0,63.56,64.56,77,77.0,0,64.31,Q|W|D,64.4,70,0,0,2026-01-29,09:47:00,09:50:20,,3.34,,False,59.5925,5,"D r2, W r1, Q pp1, Q|W|D, Q|W",Sold(Limit)
VLO,Short,5 Min,2.0,193.87,194.87,25,0,0,194.62,Q|Y|M|W|W|W|D,0,59,0,0,2026-01-29,09:35:00,,,,,False,187.95250000000001,2,"Q|Y|M|W|W|W|D, Q|Y|M|W|W",Order Cancelled
MOD,Short,40 Min,8.0,179.77,180.77,27,27.0,0,180.52,Y|M|W,180.75,76,0,0,2026-01-29,09:44:00,09:50:42,,6.71,,False,164.01749999999998,2,"W r4, Y|M|W",Sold(Limit)
NBIS,Long,5 Min,3.0,95.22,94.22,52,0,0,94.47,W|D|D,0,52,0,0,2026-01-29,09:36:00,,,,,False,96.9827,1,W|D|D,Cancelled(Order Timed)
RDDT,Long,40 Min,16.0,194.32,193.32,25,25.0,0,193.57,Q|Y|M|W|W|pdc|pdh|pdl|D|D|D,193.57,78,0,0,2026-01-29,09:47:00,09:51:24,,4.41,,False,196.1575,3,"pdc, D pp1, Q|Y|M|W|W|pdc|pdh|pdl|D|D|D",Sold(Stop)
SEIC,Short,5 Min,1.0,91.39,92.39,54,0,0,92.14,Q|M|M|W,0,66,0,0,2026-01-29,09:36:00,,,,,False,86.92500000000001,3,"W r4, Q r2, Q|M|M|W",Cancelled(Order Timed)
PLTR,Long,5 Min,4.0,151.61,150.61,33,0,0,150.86,Q|Y|W|W|D|D,0,71,0,0,2026-01-29,09:36:00,,,,,False,152.925,3,"Y pp1, Q|Y|W|W|D|D, Q|Y|W",Order Cancelled
CRCL,Long,40 Min,21.0,69.32,68.32,72,72.0,0,68.57,W|D,68.57,81,0,0,2026-01-29,09:41:00,09:51:09,,10.16,,False,69.64625,2,"W s1, W|D",Sold(Stop)
TEAM,Short,5 Min,2.0,120.98,121.98,41,0,0,121.73,Q|M|W,0,63,0,0,2026-01-29,09:37:00,,,,,False,116.47875,4,"M s4, Q s2, Q|M|W, Q|M",Cancelled(Order Timed)
APH,Long,5 Min,4.0,145.81,144.81,34,0,0,145.06,Q|M|W|W,0,76,0,0,2026-01-29,09:37:00,,,,,False,146.3075,3,"M r1, Q|M|W|W, Q|M|W",Cancelled(Order Timed)
FSLR,Short,5 Min,2.0,228.69,229.69,21,0,0,229.44,M s2,0,50,0,0,2026-01-29,09:38:00,,,,,False,219.23250000000002,3,"D s3, W s2, M s2",Cancelled(Order Timed)
CHRW,Long,40 Min,15.0,191.68,190.68,26,26.0,0,190.93,Q|Y|M|M|W|W,190.74,85,0,0,2026-01-29,09:48:00,09:53:06,,5.11,,False,193.535,4,"W r3, Y r1, Y|M|M|W|W|W|D|D|D, Q|Y|M|M|W|W",Sold(Stop)
TSM,Short,5 Min,3.0,350.29,351.29,14,0,0,351.04,Q|M|W|W|W|D|D|D,0,20,0,0,2026-01-29,09:39:00,,,,,False,338.6725,7,"D r2, D r3, D r4, W r2, Q|M|W|W|W|D|D|D, Q|M|W|W|W|D|D, Q|M|W|W",Cancelled(Order Timed)
CHRW,Long,40 Min,23.0,190.45,189.45,26,0,0,189.7,Y|M|M|W|W|W|D|D|D,0,89,0,0,2026-01-29,09:55:00,,,,,False,192.51999999999998,4,"D r2, W r3, Y|M|M|W|W|W|D|D|D, Y|M",Order Rejected
AAOI,Long,40 Min,14.0,40.47,39.47,125,0,0,39.72,W|D,0,63,0,0,2026-01-29,09:40:00,,,,,False,41.807900000000004,3,"D s1, W r1, W|D",Order Rejected
MOD,Short,40 Min,14.0,178.33,179.33,27,0,0,179.08,W r4,0,72,0,0,2026-01-29,09:52:00,,,,,False,168.505,1,W r4,Order Rejected
FCX,Long,40 Min,38.0,66.91,65.91,75,0,0,66.16,W r3,0,74,0,0,2026-01-29,09:54:00,,,,,False,67.549575,2,"D r2, W r3",Order Rejected
OKLO,Long,40 Min,5.98,89.22,88.22,56,0,0,88.47,M|W|D,0,67,0,0,2026-01-29,09:36:00,,,,,False,91.04,2,"D s1, M|W|D",Order Rejected
MSTR,Long,40 Min,5.0,150.49,149.49,33,0,0,149.74,W s2,0,56,0,0,2026-01-29,09:35:00,,,,,False,153.290275,2,"D s2, W s2",Order Rejected
